Comment,Designator,Footprint,LCSC,Quantity
CH340G,U3,SOIC-16_3.9x9.9mm_P1.27mm,C14267,1
100nF,C3,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663,1
1uF,"C1,C2",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C15849,2
30pF,"C4,C5",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1658,2
ESP-M2,U1,ESP-M2,C19949057,1
1k,R2,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C21190,1
AP2112K-3.3,U2,SOT-23-5,C22365427,1
10k,"R3,R4,R5",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C25804,3
TS-1077S-01726,"SW1,SW2",KEY-SMD_4P-L3.1-W3.1-P2.00_TS-1077S-01726,C455260,2
12MHz,Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,C5280576,1
USB_A_PCB_Edge_receptacle,J2,USB_A_PCB_Edge_receptacle,,1
