Designator,Mid X,Mid Y,Rotation,Layer
C1,139.77,-73.73,0.0,bottom
C2,141.77,-76.13,270.0,bottom
C3,140.31,-76.12,270.0,bottom
C4,141.78,-71.34,270.0,bottom
C5,138.84,-76.1175,270.0,bottom
J2,137.5,-75.08,180.0,top
R2,140.32,-71.34,90.0,bottom
R3,138.85,-79.4275,90.0,bottom
R4,138.84,-71.34,90.0,bottom
R5,140.31,-79.4275,270.0,bottom
SW1,118.86,-77.48,90.0,top
SW2,118.86,-72.71,90.0,top
U1,123.74,-75.09,270.0,bottom
U2,136.3125,-72.86,90.0,bottom
U3,124.8,-75.09,90.0,top
Y1,133.7,-78.98,180.0,bottom
